Business name,Date,Transaction Type,Num,Memo/Description,Qty,Sales Price,Amount,P.O. Number
,04/26/2024,Invoice,12443,XPD-710 TYPHOON 20*10 12*139.7/135 -24 CHROME 106,4,303.75  ,"1,215.00  ",
,04/26/2024,Invoice,12442,HUB CENTRIC RING SET(4PCS) 106-87,1,8.00  ,8.00  ,
,04/26/2024,Invoice,12442,7 SPLINE KEY 21/22mm L89,1,4.00  ,4.00  ,
,04/26/2024,Invoice,12442,7 SPLINE LUG NUT 14X1.50X51 CH,24,0.75  ,18.00  ,
,04/26/2024,Invoice,12442,XPD-710 TYPHOON 20*10 12*139.7/135 -24 GLOSS BLACK MILLED RED 106,4,237.50  ,950.00  ,
Total for GENERAL TIRE HIALEAH,,,,,,,"$4,010.00  ",
GENESIS TIRE LLC,,,,,,,,
,04/23/2024,Invoice,12419,POWERHUB LT33*12.50R20 A/T 10PLY,4,165.00  ,660.00  ,
,04/23/2024,Invoice,12419,AOQISHI  LT265/70R17 A/T 10PLY,4,110.00  ,440.00  ,
,04/26/2024,Invoice,12458,POWERHUB LT245/75R16 A/T 10PLY,4,100.00  ,400.00  ,
,04/26/2024,Invoice,12458,POWERHUB LT33*12.50R20 A/T 10PLY,2,165.00  ,330.00  ,
,04/26/2024,Invoice,12458,POWERHUB LT265/75R16 A/T 8PLY,4,110.00  ,440.00  ,
Total for GENESIS TIRE LLC,,,,,,,"$2,270.00  ",
GILBERTO OSORIO,,,,,,,,
,04/26/2024,Invoice,12444,SPD-005 18*8.5 5*114.3 +35 GLOSS BLACK MACHINED CB 73.1,1,227.91  ,227.91  ,HYUNDAI
Total for GILBERTO OSORIO,,,,,,,$227.91  ,
GUAYANILLA AUTO BODY CORP,,,,,,,,
,04/22/2024,Invoice,12416,SPD-024 18*8.0 5*114.3 +35 GLOSS BLACK MACHINED CB 73.1,4,120.00  ,480.00  ,
Total for GUAYANILLA AUTO BODY CORP,,,,,,,$480.00  ,
HOT DRIVE & SOUND,,,,,,,,
,04/24/2024,Invoice,12430,SPD-014 18*8.5 5*113 +35 SATIN BLACK 73.1,4,140.00  ,560.00  ,
,04/24/2024,Credit Memo,12431,SPD-024 17*7.5 4*100 +35 GLOSS BLACK MACHINED CB 73.1,-4,120.00  ,-480.00  ,
,04/24/2024,Invoice,12428,SPD-016 18*8.0 5*113 +35 GLOSS BLACK MACHINED RED CB 73.1,4,140.00  ,560.00  ,
,04/24/2024,Invoice,12429,XPD-704 PAKAMI 20*10 10*127/139.7 -24 GLOSS BLACK MILLED BLUE 78.1,4,245.00  ,980.00  ,
Total for HOT DRIVE & SOUND,,,,,,,"$1,620.00  ",
"LEJEUNE TIRE& WHEELS, INC",,,,,,,,
,04/23/2024,Invoice,12420,SPD-014 18*8.5 5*113 +35 SATIN BLACK 73.1,4,140.00  ,560.00  ,
,04/23/2024,Invoice,12423,F0114 18*8.0 5*114.3 +35 HYPER BLACK 73.1,4,140.00  ,560.00  ,
,04/23/2024,Invoice,12421,SPD-018 18*8.5 10*100/114.3 +35 SATIN BLACK CB 73.1,4,140.00  ,560.00  ,
,04/26/2024,Invoice,12447,SPD-016 18*8.0 5*100 +35 GLOSS BLACK MACHINED CB 73.1,4,140.00  ,560.00  ,
,04/26/2024,Invoice,12446,SPD-016 18*8.0 5*113 +35 GLOSS BLACK MACHINED CB 73.1,4,140.00  ,560.00  ,
,04/26/2024,Invoice,12450,CAP 700/703 6 HOLES BLACK SILVER LETTERS,1,20.00  ,20.00  ,
,04/26/2024,Invoice,12448,SPD-014 18*8.5 5*113 +35 SATIN BLACK 73.1,4,140.00  ,560.00  ,
,04/26/2024,Invoice,12445,XPD-702 EPIC 20*9.0 12*139.7/120 0 GLOSS BLACK MILLED 78.1,4,222.50  ,890.00  ,
"Total for LEJEUNE TIRE& WHEELS, INC",,,,,,,"$4,270.00  ",
MIAMI BEST WHEELS,,,,,,,,
,04/23/2024,Invoice,12426,6 SPLINE LUG NUT 12X1.50X35 BLK,50,0.55  ,27.50  ,
,04/25/2024,Invoice,12438,SPD-FFS01 20*10.5 5*BLANK +40 SATIN BLACK CB 73.1,2,200.00  ,400.00  ,7297 ELEDY
,04/25/2024,Invoice,12438,DRILLING WHEELS (5*114.3) RAMON,4,30.00  ,120.00  ,7297 ELEDY
,04/25/2024,Invoice,12438,SPD-FFS01 20*9.0 5*BLANK +35 SATIN BLACK CB 73.1,2,200.00  ,400.00  ,7297 ELEDY
Total for MIAMI BEST WHEELS,,,,,,,$947.50  ,
NEWON ALLEN,,,,,,,,
,04/26/2024,Invoice,12454,USPS,1,5.00  ,5.00  ,
,04/26/2024,Invoice,12454,SPD HACHI CAP ALLUMINUM COLOR,1,20.00  ,20.00  ,
Total for NEWON ALLEN,,,,,,,$25.00  ,
OCEAN TIRE SERVICES INC,,,,,,,,
,04/26/2024,Invoice,12457,HUB CENTRIC RING SET(4PCS) 78-71.5,1,0.00  ,0.00  ,WALTER BRASIL
,04/26/2024,Invoice,12457,XPD-704 PAKAMI 20*10 10*127/139.7 -24 GLOSS BLACK MILLED RED 78.1 - TOTAL 1760 ABONO 760 4/26/24,4,125.00  ,500.00  ,WALTER BRASIL
,04/26/2024,Invoice,12457,POWERHUB LT33*12.50R20 A/T 10PLY,4,125.00  ,500.00  ,WALTER BRASIL
,04/26/2024,Invoice,12457,ACORN LUG NUT 1/2-20X19X44 BLK,20,0.00  ,0.00  ,WALTER BRASIL
Total for OCEAN TIRE SERVICES INC,,,,,,,"$1,000.00  ",
PGI DISTRIBUTOR CORP,,,,,,,,
,04/23/2024,Invoice,12424,HUB CENTRIC RING SET(4PCS) 106-78,1,15.00  ,15.00  ,TITO
Total for PGI DISTRIBUTOR CORP,,,,,,,$15.00  ,
RED LINE AUTO ACCESSORIES & WHEELS,,,,,,,,
,04/24/2024,Credit Memo,12433,SPD-504 VELOR 20*9.0 5*114.3 +35 SATIN BLACK CB 73.1,-4,200.00  ,-800.00  ,
,04/24/2024,Invoice,12432,POWERHUB LT33*12.50R20 A/T 10PLY,4,165.00  ,660.00  ,
,04/25/2024,Invoice,12439,XPD-704 PAKAMI 20*10 12*139.7/135 -24 GLOSS BLACK MILLED RED 106,4,245.00  ,980.00  ,
Total for RED LINE AUTO ACCESSORIES & WHEELS,,,,,,,$840.00  ,
RIVERA TIRES CORP,,,,,,,,
,04/26/2024,Invoice,12451,SURCHARGE,1,10.00  ,10.00  ,
,04/26/2024,Invoice,12456,ACORN LUG NUT 14X1.50X19X35 BLK,16,1.00  ,16.00  ,
,04/26/2024,Invoice,12456,WHEEL LOCK NUTS 14X1.50 35mm SET (4+1) BLK,1,20.00  ,20.00  ,
,04/26/2024,Invoice,12456,SURCHARGE,1,4.00  ,4.00  ,
,04/26/2024,Invoice,12451,FACTORY LUG NUT 12X1.25X21X37 CH WASHER,50,1.50  ,75.00  ,
Total for RIVERA TIRES CORP,,,,,,,$125.00  ,
RJ AUTOTRONIC,,,,,,,,
,04/26/2024,Invoice,12452,7 SPLINE KEY 21/22mm L89,5,4.00  ,20.00  ,
,04/26/2024,Invoice,12452,6 SPLINE LUG NUT 12X1.25X35 BLK,20,0.50  ,10.00  ,
,04/26/2024,Invoice,12452,7 SPLINE LUG NUT 14X1.50X51 CH,24,0.85  ,20.40  ,
,04/26/2024,Invoice,12452,6 SPLINE KEY 19/21mm L89,5,4.00  ,20.00  ,
,04/26/2024,Invoice,12452,7 SPLINE LUG NUT 14X1.50X51 BK,48,0.85  ,40.80  ,
Total for RJ AUTOTRONIC,,,,,,,$111.20  ,
TIRES WHEELS AND MORE LLC,,,,,,,,
,04/22/2024,Invoice,12415,XPD-707 PATRON 20*10 12*139.7/135 -24 GLOSS BLACK MILLED RED 106,4,230.00  ,920.00  ,
,04/22/2024,Invoice,12415,7 SPLINE LUG NUT 14X1.50X51 BK KIT 24+1,1,0.00  ,0.00  ,
,04/22/2024,Invoice,12415,ADL DELIVERY TRACKING #,4,10.00  ,40.00  ,
Total for TIRES WHEELS AND MORE LLC,,,,,,,$960.00  ,
VASMARTZ TIRES & AUTOPARTS INT.,,,,,,,,
,04/26/2024,Invoice,12449,SPD-503 ICHI 20*9.0 5*114.3 +35 SILVER BRUSH FACE 73.1,4,200.00  ,800.00  ,
,04/26/2024,Invoice,12449,DRILLING WHEELS(5*120) RAMON,4,30.00  ,120.00  ,
,04/26/2024,Invoice,12449,HUB CENTRIC RING SET(4PCS) 73.1-64.1,1,5.00  ,5.00  ,
,04/26/2024,Invoice,12449,AOQISHI LT265/70R17 A/T 10PLY,4,115.00  ,460.00  ,
Total for VASMARTZ TIRES & AUTOPARTS INT.,,,,,,,"$1,385.00  ",
